,base,clouds,cod,coord,dt,id,main,name,rain,sys,visibility,weather,wind
43,stations,{'all': 32},200,"{'lon': -134.97, 'lat': -23.12}",1529193386,4030556,"{'temp': 75.91, 'pressure': 1033.84, 'humidity': 100, 'temp_min': 75.91, 'temp_max': 75.91, 'sea_level': 1033.96, 'grnd_level': 1033.84}",Rikitea,,"{'message': 0.0042, 'country': 'PF', 'sunrise': 1529163563, 'sunset': 1529202141}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 23.17, 'deg': 91.0013}"
44,stations,{'all': 88},200,"{'lon': -169.92, 'lat': -19.06}",1529190000,4036284,"{'temp': 73.4, 'pressure': 1014, 'humidity': 94, 'temp_min': 73.4, 'temp_max': 73.4}",Alofi,{'3h': 0.92},"{'type': 1, 'id': 8341, 'message': 0.0037, 'country': 'NU', 'sunrise': 1529171469, 'sunset': 1529211014}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 2.24, 'deg': 170}"
45,stations,{'all': 92},200,"{'lon': 80.42, 'lat': 5.97}",1529193501,1223738,"{'temp': 77.17, 'pressure': 1016.98, 'humidity': 100, 'temp_min': 77.17, 'temp_max': 77.17, 'sea_level': 1024.44, 'grnd_level': 1016.98}",Weligama,{'3h': 1.56},"{'message': 0.004, 'country': 'LK', 'sunrise': 1529108707, 'sunset': 1529153596}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 11.21, 'deg': 266.001}"
46,stations,{'all': 0},200,"{'lon': 22.13, 'lat': -30.97}",1529193501,1014034,"{'temp': 32.89, 'pressure': 879.99, 'humidity': 84, 'temp_min': 32.89, 'temp_max': 32.89, 'sea_level': 1038.58, 'grnd_level': 879.99}",Carnarvon,,"{'message': 0.0038, 'country': 'ZA', 'sunrise': 1529126886, 'sunset': 1529163398}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 7.18, 'deg': 17.0013}"
47,stations,{'all': 0},200,"{'lon': -53.11, 'lat': 48.65}",1529193501,5905393,"{'temp': 40.36, 'pressure': 1027.52, 'humidity': 94, 'temp_min': 40.36, 'temp_max': 40.36, 'sea_level': 1029.62, 'grnd_level': 1027.52}",Bonavista,,"{'message': 0.0038, 'country': 'CA', 'sunrise': 1529134157, 'sunset': 1529192256}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 6.4, 'deg': 116.001}"
48,stations,{'all': 90},200,"{'lon': -147.8, 'lat': 64.86}",1529189880,5859699,"{'temp': 62.65, 'pressure': 1004, 'humidity': 48, 'temp_min': 60.8, 'temp_max': 64.4}",College,,"{'type': 1, 'id': 63, 'message': 0.0124, 'country': 'US', 'sunrise': 1529146698, 'sunset': 1529225213}",16093.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 3.36, 'deg': 310}"
49,stations,{'all': 40},200,"{'lon': -96.37, 'lat': 30.67}",1529192100,4677008,"{'temp': 92.32, 'pressure': 1011, 'humidity': 46, 'temp_min': 91.4, 'temp_max': 93.2}",Bryan,,"{'type': 1, 'id': 2630, 'message': 0.0046, 'country': 'US', 'sunrise': 1529148155, 'sunset': 1529199022}",16093.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 12.75, 'deg': 140, 'gust': 9.3}"
50,stations,{'all': 0},200,"{'lon': 18.42, 'lat': -33.93}",1529190000,3369157,"{'temp': 50, 'pressure': 1017, 'humidity': 93, 'temp_min': 50, 'temp_max': 50}",Cape Town,,"{'type': 1, 'id': 6529, 'message': 0.0038, 'country': 'ZA', 'sunrise': 1529128214, 'sunset': 1529163850}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 4.7, 'deg': 330}"
51,stations,{'all': 0},200,"{'lon': 25.57, 'lat': -33.92}",1529190000,964420,"{'temp': 48.2, 'pressure': 1021, 'humidity': 87, 'temp_min': 48.2, 'temp_max': 48.2}",Port Elizabeth,,"{'type': 1, 'id': 6596, 'message': 0.0037, 'country': 'ZA', 'sunrise': 1529126496, 'sunset': 1529162136}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 2.24, 'deg': 320}"
52,stations,{'all': 5},200,"{'lon': 42.5, 'lat': 18.22}",1529190000,110690,"{'temp': 69.8, 'pressure': 1023, 'humidity': 32, 'temp_min': 69.8, 'temp_max': 69.8}",Abha,,"{'type': 1, 'id': 6975, 'message': 0.0035, 'country': 'SA', 'sunrise': 1529116455, 'sunset': 1529164053}",8000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]","{'speed': 1.92, 'deg': 28.0013}"
